Date,First case,Jan 4,Feb 1,Mar 1,Apr 1,May 1,Jun 1,Jul 1,Aug 1,Sep 1,Oct 1,Nov 1,Dec 1
 Bosnia and Herzegovina,"March 5, 2020",0,0,0,413,"1,757","2,509","4,453","11,442","20,020","27,465","50,090","87,901
"
 Bahrain,"February 25, 2020",0,0,40,567,"3,040","11,398","26,758","40,982","51,972","70,422","81,645","86,956
"
 Kenya,"March 14, 2020",0,0,0,50,396,"1,962","6,366","20,636","34,201","38,529","55,192","83,618
"
 Algeria,"February 26, 2020",0,0,1,584,"4,006","9,394","13,907","30,394","44,494","51,530","57,651","83,199
"
 Libya,"March 25, 2020",0,0,0,10,61,156,824,"3,621","13,966","34,525","61,095","82,809
"
 Paraguay,"March 9, 2020",0,0,0,65,249,986,"2,221","5,207","17,105","40,101","62,596","81,906
"
 Denmark,"February 27, 2020",0,0,3,"2,860","9,158","11,669","12,768","13,789","16,985","27,998","46,351","80,481
"
 Slovenia,"March 5, 2020",0,0,0,814,"1,429","1,473","1,600","2,165","2,892","5,690","34,307","75,814
"
 Kyrgyzstan,"March 19, 2020",0,0,0,111,756,"1,817","5,735","36,299","43,958","46,841","59,443","73,178
"
 Uzbekistan,"March 16, 2020",0,0,0,173,"2,046","3,662","8,627","24,304","41,994","56,997","67,055","73,094
"
 Ireland,"March 1, 2020",0,0,1,"3,235","20,612","24,990","25,473","26,065","28,811","36,155","61,456","72,544
"
 Nigeria,"February 28, 2020",0,0,1,111,"1,932","10,162","25,694","43,151","54,008","58,848","62,853","67,557
"
 Malaysia,"January 26, 2020",0,8,24,"2,766","6,002","7,819","8,639","8,976","9,340","11,224","31,548","65,697
"
 Lithuania,"February 28, 2020",0,0,1,533,"1,385","1,675","1,817","2,075","2,906","4,693","14,824","62,515
"
 North Macedonia,"February 27, 2020",0,0,1,329,"1,465","2,226","6,350","10,762","14,341","17,977","31,577","61,878
"
 Singapore,"January 23, 2020",0,16,102,926,"16,169","34,884","43,907","52,205","56,812","57,765","58,015","58,218
"
 Puerto Rico,"March 14, 2020",0,0,0,239,"1,539","3,776","7,465","16,781","33,199","48,755","66,128","52,545
"
 Ghana,"March 14, 2020",0,0,0,152,"2,074","7,881","17,741","35,501","44,205","46,656","48,055","51,667
"
 Afghanistan,"February 25, 2020",0,0,1,192,"2,171","15,750","31,762","36,710","38,196","39,268","41,425","46,498
"
 Kosovo,"March 13, 2020",0,0,0,112,799,"1,064","2,835","8,287","13,411","15,577","19,799","39,553
"
 El Salvador,"March 20, 2020",0,0,0,30,395,"2,517","6,438","16,632","25,729","29,077","33,445","38,405
"
 Albania,"March 9, 2020",0,0,0,243,773,"1,143","2,580","5,276","9,513","13,649","20,875","38,182
"
 Norway,"February 27, 2020",0,0,15,"4,447","7,710","8,411","8,865","9,208","10,644","13,914","19,563","35,826
"
 Montenegro,"March 18, 2020",0,0,0,105,322,324,548,"3,184","4,905","11,083","18,958","35,366
"
 South Korea,"January 21, 2020",0,12,"3,736","9,887","10,774","11,503","12,850","14,336","20,182","23,889","26,635","34,652
"
 Luxembourg,"March 2, 2020",0,0,0,"2,178","3,784","4,018","4,299","6,695","6,677","8,509","17,933","34,538
"
 Australia,"January 26, 2020",0,10,29,"4,707","6,762","7,195","7,834","16,905","25,746","27,078","27,590","27,904
"
 Finland,"January 30, 2020",0,1,2,"1,384","4,995","6,859","7,214","7,432","8,086","9,992","16,113","24,912
"
 Cameroon,"March 6, 2020",0,0,0,139,"1,832","5,904","12,592","17,255","19,409","20,838","21,793","24,487
"
 Sri Lanka,"January 28, 2020",0,1,1,143,665,"1,633","2,047","2,815","3,049","3,380","10,663","23,484
"
 Cote d'Ivoire,"March 12, 2020",0,0,0,169,"1,275","2,833","9,214","16,047","17,948","19,724","20,692","21,331
"
 Uganda,"March 22, 2020",0,0,0,33,81,458,889,"1,154","2,972","8,129","12,495","20,459
"
 Sudan,"March 14, 2020",0,0,0,7,442,"5,026","9,258","11,644","13,189","13,640","13,804","17,810
"
 Zambia,"March 19, 2020",0,0,0,35,106,"1,057","1,594","5,963","12,097","14,759","16,432","17,647
"
 Madagascar,"March 22, 2020",0,0,0,53,132,771,"2,214","10,868","14,863","16,408","17,111","17,341
"
 Latvia,"March 3, 2020",0,0,0,398,858,"1,066","1,118","1,231","1,396","1,824","5,894","17,075
"
 Senegal,"March 3, 2020",0,0,0,175,933,"3,645","6,793","10,232","13,611","14,982","15,616","16,089
"
 Mozambique,"March 23, 2020",0,0,0,8,76,254,889,"1,864","3,916","8,728","12,869","15,701
"
 Angola,"March 22, 2020",0,0,0,7,27,86,284,"1,109","2,654","4,972","10,805","15,139
"
 Namibia,"March 15, 2020",0,0,0,11,16,24,203,"2,129","7,550","11,265","12,935","14,380
"
 French Polynesia,"March 12, 2020",0,0,0,37,58,60,62,62,573,"1,852","7,262","14,372
"
 Guinea,"March 14, 2020",0,0,0,16,"1,495","3,771","5,391","7,308","9,409","10,652","12,072","13,097
"
 Maldives,"March 8, 2020",0,0,0,18,396,"1,773","2,361","3,793","7,804","10,291","11,659","13,011
"
 DRC,"March 11, 2020",0,0,0,109,572,"3,048","7,038","9,069","10,096","10,658","11,305","12,771
"
 Estonia,"February 27, 2020",0,0,1,745,"1,689","1,869","1,989","2,064","2,375","3,371","4,905","12,308
"
 Tajikistan,"May 1, 2020",0,0,0,0,15,"3,930","5,954","7,409","8,583","9,769","11,017","12,194
"
 French Guiana,"March 8, 2020",0,0,0,46,126,477,"4,004","7,799","9,115","9,955","10,536","11,204
"
 Jamaica,"March 11, 2020",0,0,0,36,396,581,698,864,"2,357","6,482","9,094","10,763
"
 Cyprus,"March 10, 2020",0,0,0,262,850,944,998,"1,114","1,488","1,755","4,366","10,565
"
 Cabo Verde,"March 21, 2020",0,0,0,5,121,435,"1,227","2,451","3,884","6,024","8,793","10,526
"
 Zimbabwe,"March 21, 2020",0,0,0,8,32,178,591,"3,169","6,497","7,838","8,367","10,034
"
 Botswana,"April 1, 2020",0,0,0,3,23,38,227,804,"1,724","3,172","6,642","9,992
"
 Malta,"March 8, 2020",0,0,0,167,465,616,670,824,"1,883","3,058","6,042","9,873
"
 Haiti,"March 21, 2020",0,0,0,15,76,"1,865","5,933","7,412","8,224","8,766","9,054","9,294
"
 Gabon,"March 14, 2020",0,0,0,7,276,"2,655","5,394","7,352","8,533","8,766","8,968","9,191
"
 Mauritania,"March 15, 2020",0,0,0,5,8,530,"4,237","6,310","7,048","7,502","7,663","8,424
"
 Guadeloupe,"March 14, 2020",0,0,0,114,152,162,182,244,"1,145","5,528","7,742","8,378
"
 Cuba,"March 13, 2020",0,0,0,186,"1,501","2,045","2,341","2,608","4,032","5,597","6,887","8,284
"
 Reunion,"March 13, 2020",0,0,0,247,420,471,526,660,"1,679","3,993","5,659","8,054
"
 Syria,"March 23, 2020",0,0,0,10,43,122,279,757,"2,765","4,148","5,728","7,887
"
 Bahamas,"March 17, 2020",0,0,0,14,80,101,104,508,"2,167","4,022","6,644","7,517
"
 Andorra,"March 3, 2020",0,0,0,376,746,764,855,925,"1,176","2,050","4,756","6,745
"
 Guam,"March 17, 2020",0,0,0,69,142,166,251,351,"1,387","2,488","4,632","6,722
"
 Trinidad and Tobago,"March 14, 2020",0,0,0,85,116,117,130,169,"1,727","4,517","5,668","6,660
"
 Eswatini,"March 15, 2020",0,0,0,9,100,285,812,"2,648","4,577","5,482","5,917","6,419
"
 Malawi,"April 3, 2020",0,0,0,0,37,284,"1,265","4,078","5,566","5,773","5,930","6,028
"
 Rwanda,"March 16, 2020",0,0,0,75,243,370,"1,025","2,022","4,063","4,840","5,137","5,934
"
 Congo,"March 15, 2020",0,0,0,19,220,604,"1,329","3,376","3,979","5,089","5,290","5,774
"
 Belize,"March 24, 2020",0,0,0,3,18,18,24,48,993,"1,943","3,462","5,743
"
 Uruguay,"March 16, 2020",0,0,0,320,630,821,932,"1,243","1,585","2,033","3,082","5,716
"
 Djibouti,"March 19, 2020",0,0,0,31,"1,089","3,354","4,682","5,081","5,387","5,416","5,561","5,679
"
 Martinique,"March 8, 2020",0,0,0,119,178,200,242,269,596,"1,543","3,818","5,486
"
 Iceland,"March 2, 2020",0,0,0,"1,135","1,797","1,806","1,842","1,885","2,107","2,728","4,865","5,392
"
 Guyana,"March 13, 2020",0,0,0,12,78,152,235,401,"1,234","2,846","4,143","5,376
"
 Suriname,"March 16, 2020",0,0,0,8,10,14,515,"1,650","4,009","4,863","5,201","5,312
"
 Mayotte,"March 15, 2020",0,0,0,101,539,"1,871","2,603","2,962","3,301","3,779","4,366","5,181
"
 Equatorial Guinea,"March 15, 2020",0,0,0,14,315,"1,043","1,043","4,821","4,941","5,030","5,088","5,153
"
 Central African Republic,"March 15, 2020",0,0,0,6,64,"1,011","3,745","4,608","4,711","4,829","4,866","4,918
"
 Aruba,"March 17, 2020",0,0,0,55,100,101,103,120,"1,997","3,934","4,472","4,838
"
 Mali,"March 26, 2020",0,0,0,18,490,"1,265","2,181","2,522","2,776","3,118","3,554","4,688
"
 Nicaragua,"March 20, 2020",0,0,0,4,14,885,"2,014","3,080","3,659","4,146","4,424","4,629
"
 Somalia,"March 17, 2020",0,0,0,5,601,"1,976","2,924","3,212","3,310","3,588","3,941","4,451
"
 Thailand,"January 21, 2020",0,19,42,"1,771","2,960","3,082","3,173","3,312","3,417","3,569","3,784","3,998
"
 Gambia,"March 19, 2020",0,0,0,3,12,25,49,498,"2,963","3,579","3,670","3,742
"
 South Sudan,"April 6, 2020",0,0,0,0,35,994,"2,007","2,352","2,527","2,704","2,926","3,109
"
 Benin,"March 17, 2020",0,0,0,9,84,232,"1,199","1,805","2,145","2,357","2,643","3,015
"
 Togo,"March 7, 2020",0,0,0,34,116,442,643,927,"1,396","1,784","2,296","2,946
"
 Burkina Faso,"March 11, 2020",0,0,0,261,645,881,962,"1,138","1,368","2,028","2,500","2,886
"
 Guinea-Bissau,"March 26, 2020",0,0,0,9,201,"1,322","1,654","1,981","2,149","2,324","2,413","2,422
"
 Sierra Leone,"April 1, 2020",0,0,0,1,124,861,"1,462","1,823","2,026","2,231","2,366","2,412
"
 Curaçao,"March 15, 2020",0,0,0,11,16,20,25,29,68,370,944,"2,364
"
 Lesotho,"May 14, 2020",0,0,0,0,0,2,27,604,"1,085","1,595","1,947","2,109
"
 Yemen,"April 11, 2020",0,0,0,0,6,327,"1,162","1,732","1,962","2,035","2,067","2,081
"
 New Zealand,"February 28, 2020",0,0,1,647,"1,132","1,154","1,178","1,212","1,401","1,492","1,603","1,703
"
 Chad,"March 20, 2020",0,0,0,7,73,778,866,936,"1,013","1,200","1,483","1,688
"
 San Marino,"February 29, 2020",0,0,1,236,569,687,713,716,735,750,958,"1,612
"
 Liberia,"March 17, 2020",0,0,0,3,141,288,780,"1,186","1,305","1,343","1,426","1,598
"
 Niger,"March 20, 2020",0,0,0,20,719,958,"1,075","1,136","1,176","1,197","1,220","1,548
"
 US Virgin Islands,"March 17, 2020",0,0,0,30,66,69,84,406,"1,134","1,318","1,376","1,544
"
 Vietnam,"January 24, 2020",0,6,16,207,270,328,355,558,"1,044","1,095","1,180","1,347
"
 Liechtenstein,"March 4, 2020",0,0,0,68,83,83,83,89,108,120,533,"1,302
"
 Sint Maarten,"March 19, 2020",0,0,0,6,76,78,77,128,463,645,805,"1,066
"
 Gibraltar,"March 5, 2020",0,0,0,69,141,169,177,187,285,391,693,"1,014
"
 São Tomé and Príncipe,"April 7, 2020",0,0,0,0,16,295,394,871,896,911,945,"991
"
 Jersey,"March 13, 2020",0,0,0,63,290,308,319,335,374,409,574,"923
"
 Mongolia,"March 10, 2020",0,0,0,12,38,179,220,291,301,313,346,"791
"
 Turks and Caicos,"March 24, 2020",0,0,0,5,12,12,41,107,507,686,703,"748
"
 Saint Martin,"March 5, 2020",0,0,0,18,38,41,43,53,213,383,591,"744
"
  Other,"February 20, 2020",0,0,705,712,712,741,741,741,741,741,741,"741
"
 Burundi,"April 1, 2020",0,0,0,2,15,63,170,387,445,510,589,"689
"
 Papua New Guinea,"March 21, 2020",0,0,0,1,8,8,11,72,459,534,589,"656
"
 Comoros,"May 1, 2020",0,0,0,0,1,62,303,382,423,479,530,"611
"
 Monaco,"March 1, 2020",0,0,1,52,68,98,99,99,141,218,359,"609
"
 Eritrea,"March 22, 2020",0,0,0,6,39,39,203,279,319,375,463,"577
"
 Tanzania,"March 17, 2020",0,0,0,19,480,509,509,509,509,509,509,"509
"
 Mauritius,"March 19, 2020",0,0,0,143,332,335,341,344,356,381,441,"504
"
 Faroe Islands,"March 8, 2020",0,0,0,169,187,187,187,225,411,467,495,"503
"
 Bhutan,"March 6, 2020",0,0,0,4,7,43,77,101,225,282,349,"410
"
 Isle of Man,"March 21, 2020",0,0,0,52,311,336,336,336,336,340,353,"369
"
 Cambodia,"January 28, 2020",0,1,1,109,122,125,141,239,274,277,291,"326
"
 Guernsey,"March 10, 2020",0,0,0,60,251,252,252,252,252,256,267,"286
"
 Barbados,"March 19, 2020",0,0,0,33,80,92,97,110,173,190,236,"276
"
 Cayman Islands,"March 14, 2020",0,0,0,12,73,141,199,203,205,211,240,"274
"
 Bermuda,"March 19, 2020",0,0,0,27,111,140,146,156,169,181,199,"260
"
 Saint Lucia,"March 16, 2020",0,0,0,9,17,18,19,25,26,27,78,"257
"
 Seychelles,"March 16, 2020",0,0,0,8,11,11,81,114,135,142,154,"172
"
 Caribbean Netherlands,"April 4, 2020",0,0,0,0,6,7,7,11,16,116,153,"162
"
 Saint Barthélemy,"March 5, 2020",0,0,0,6,6,6,6,8,18,48,89,"152
"
 Brunei,"March 10, 2020",0,0,0,129,138,141,141,141,144,146,148,"150
"
 Antigua and Barbuda,"March 14, 2020",0,0,0,7,24,25,66,91,94,101,127,"141
"
 Northern Mariana Islands,"March 29, 2020",0,0,0,2,14,22,30,42,56,70,96,"106
"
 Saint Vincent and the Grenadines,"March 13, 2020",0,0,0,1,16,26,29,54,60,64,74,"85
"
 Dominica,"March 24, 2020",0,0,0,11,16,16,18,18,20,30,50,"85
"
 British Virgin Islands,"March 27, 2020",0,0,0,3,6,8,8,8,47,71,72,"73
"
 Fiji,"March 20, 2020",0,0,0,5,18,18,18,27,28,32,34,"42
"
 Grenada,"March 23, 2020",0,0,0,9,20,23,23,24,24,24,28,"41
"
 Laos,"March 25, 2020",0,0,0,9,19,19,19,20,22,23,24,"39
"
 New Caledonia,"March 20, 2020",0,0,0,16,18,19,21,22,23,27,28,"33
"
 Timor-Leste,"March 21, 2020",0,0,0,1,24,24,24,24,27,28,30,"30
"
  Vatican City,"March 7, 2020",0,0,0,6,11,12,12,12,12,12,26,"26
"
 Saint Kitts and Nevis,"March 26, 2020",0,0,0,8,15,15,15,17,17,19,19,"22
"
 Greenland,"March 18, 2020",0,0,0,10,11,13,13,14,14,14,17,"18
"
 Falkland Islands,"April 5, 2020",0,0,0,0,13,13,13,13,13,13,13,"17
"
 Solomon Islands,"October 4, 2020",0,0,0,0,0,0,0,0,0,0,8,"17
"
 Saint Pierre and Miquelon,"April 8, 2020",0,0,0,0,1,1,1,4,5,16,16,"14
"
 Montserrat,"March 19, 2020",0,0,0,5,11,11,11,13,13,13,13,"13
"
 Anguilla,"March 27, 2020",0,0,0,2,3,3,3,3,3,3,3,"6
"
 Marshall Islands,"October 28, 2020",0,0,0,0,0,0,0,0,0,0,1,"4
"
 Wallis and Futuna,"October 19, 2020",0,0,0,0,0,0,0,0,0,0,1,"3
"
 American Samoa,"November 9, 2020",0,0,0,0,0,0,0,0,0,0,0,"3
"
 Samoa,"November 18, 2020",0,0,0,0,0,0,0,0,0,0,0,"2
"
 Vanuatu,"November 11, 2020",0,0,0,0,0,0,0,0,0,0,0,"1
"
